Date,Momentum_1m,Momentum_2m,Momentum_3m,Turnover_1m,Turnover_2m,Turnover_3m,Volatility_1m,Volatility_2m,Volatility_3m,std_1m,std_2m,std_3m,ROA,ROE,EP,BP
2021-01-04,0.7130732157514662,1.9482471405926411,2.9477182418552927,3.8509299349886197,3.3932313554462645,3.0141597075072504,3.7205665325830504,3.169914010616749,3.1284710725109526,4.041968316392204,3.8705457146234274,3.9818164655833135,-1.7578623039737808,-1.392780776013214,-1.4761172423874596,1.3558412042933352
2021-01-05,5.952171546956447,5.0466667268416225,3.9094453320153093,5.218191297762375,4.60824770352793,4.575238554658691,5.35059883981901,5.283891761156113,4.696630435711959,6.384262085727045,5.754300315056821,5.756744248165869,-3.5836116670890132,-3.418902395348368,-3.2437585081804428,-0.42062885460871935
2021-01-06,3.970590931127289,5.365894222629125,4.813302288714381,-3.1711694897163145,-2.9840259301033267,-2.692330845291277,-0.9052368244283119,-0.5040359721398286,0.09674133133059526,-1.0876945795278905,-0.4934463266275964,-0.4468518973969121,1.3875920915184772,1.104056228443143,3.450413714550245,2.95775963672195
2021-01-07,5.684421538907485,4.741423828506095,4.483287028155461,5.983275019139493,5.461684464908959,4.974356189769995,7.267158798457827,6.2287898402354065,6.006064656237416,7.7793654372548815,6.310969180291171,6.132260647524497,-4.422485150053094,-4.3296819220874845,-4.603440539983906,-3.541005941226165
2021-01-08,4.48561799644382,1.9828177430359253,1.747346064236632,2.9319038662824832,2.6717328990693825,2.6885286243488986,3.760303219129949,2.7559305577317286,1.897121502960578,3.3205921581256175,2.502047028049921,2.46877973644498,-3.001550622865307,-2.9208550988000663,-3.650617916539389,-2.196108646359416
2021-01-11,6.799787295559806,4.724275874191876,3.49204786898095,2.8511202678732057,2.922524988735316,2.7537021708303695,4.323877820568806,4.137619786537253,3.9295261174758465,3.6891619268344247,3.7138438114519503,3.607747102437359,-2.836748187483248,-2.7541421685152674,-2.0602973340983732,-0.417991870430001
2021-01-12,5.65526843820237,6.4592831549664345,4.3248698335107285,3.1556183237905637,3.066728313395723,2.8145474634509178,5.236564061746069,4.603825302121992,4.658334656571296,5.228662402893302,4.95302832140495,5.090127245715294,-1.4222802383555653,-1.2594232746955731,-0.9405286170153531,0.04086473009522891
2021-01-13,5.709514376080886,3.5983548666817056,1.8917803635474535,2.4051078606419134,1.7040677978191974,1.4754273758676437,4.4957245420133685,3.600853722375507,2.3130123218580216,5.030069258424605,4.222139658691844,3.79097583482714,-3.630526966576266,-4.011497405263225,-4.0682479953249375,-1.724519002534509
2021-01-14,9.386673943989589,6.255714148978778,5.5157386023330135,4.594298377428857,3.946099181343061,3.844600042921213,8.165866100642292,6.6217022128262215,6.042069448253932,7.780247226011487,7.482945193742497,6.864542483376019,-4.499211701275636,-4.1531290470434366,-4.109364085370435,-1.093229340627481
2021-01-15,3.906733187173173,2.446212257838883,1.3355361087202422,0.4211365334551899,0.20342136256176135,0.4037929811453311,2.177285769437598,1.2223359219620493,0.9881389331180258,1.5237089141946383,1.138155004490528,1.3336811183761779,-2.9783536037942473,-2.62845255775752,-2.848524391391505,-0.2665146235578972
2021-01-19,8.15300504029615,7.482415044522752,5.573268239435327,5.213794183929759,4.838300260645602,4.8196289756952515,8.057279856034578,7.674473185176638,6.306856743652394,8.228611452965469,7.6574061453614535,7.058949762275455,-4.871270188970803,-4.512909755290556,-4.923213783951437,-3.6568509228679726
2021-01-20,4.5818188135815285,2.7890866076681955,0.9589811192353618,0.9486219505988338,1.4681122493178393,1.642217853738696,1.2142472649658103,0.4940994338787461,0.5341562083106306,1.6229197341886115,1.1182233991688662,1.6412501589055897,0.26745501091922746,0.7229076740174504,-1.2207780981866916,-2.0546378790812736
2021-01-21,5.050054210716272,3.858776862379182,2.077137591740088,2.1421948471875543,2.45881936883258,2.382146831087917,2.0430570539404123,2.3108552918532665,1.6496375894912088,1.4022298285948291,1.8156737207556197,1.4661073519309133,-0.9618110735273842,-0.5066649611244668,-0.5018961872742639,-0.757867227874023
2021-01-22,4.1880524008690605,4.550558781454674,2.7662029754969994,2.253804337956182,1.7136606433012564,1.5595853901753922,3.315020497094774,3.3649220620828735,3.403021537982615,3.6302555022097276,4.022332200555379,4.462283279848491,-3.3293423562725413,-3.4700372137643964,-2.581530640105647,0.8343228996576092
2021-01-25,4.945895923433265,3.5400332814896687,1.8117637126263755,5.2656107526204154,5.469141879519149,5.661751794380487,3.318390322750794,2.709987580707954,2.051347265454592,2.9167761935808527,3.1256847816570454,3.208666424218549,-2.86196534342378,-3.25304095870479,-3.209523029580759,-2.8686026101502584
2021-01-26,4.754989660188285,3.4539108660519697,2.6272544110850333,1.8166723239741376,1.7574918406220383,1.6424837595323807,1.869699146550502,1.4102532354789876,0.7288153577588318,1.6139451264010813,1.2570518287989685,1.4464586747720511,1.1563532381885686,1.120397950634572,1.0265614316768106,-0.07440377292512665
2021-01-27,3.7752562567550645,2.369550403983719,2.4341546038098825,0.24791352642568754,-0.007543634077641124,-0.060944340763280425,-1.3721031852428216,-1.2746530054445597,-1.0596926743300714,-2.8549701971592607,-1.830851685979958,-1.2796859548886634,2.290299233199738,2.053994726462245,1.3502674601611429,1.821797373109718
2021-01-28,1.018454696322588,2.110162607706638,2.8197087273402244,-0.2843328325253134,0.25538009322935457,0.24221907783410546,-0.6185604681091141,-0.39648795216603433,1.283579776352324,0.8379745836394774,0.031630251448900464,0.28170517689197677,1.1964441136428545,1.103699490502278,1.223216411788567,-0.9081318167720053
