Date,Momentum_1m,Momentum_2m,Momentum_3m,Turnover_1m,Turnover_2m,Turnover_3m,Volatility_1m,Volatility_2m,Volatility_3m,std_1m,std_2m,std_3m,ROA,ROE,EP,BP
2021-01-04,0.0012292766270561419,0.003348114552216523,0.005042367232756465,0.0065496878127290084,0.005789103037265226,0.005154102430708208,0.00633377952075098,0.005415537104866546,0.005346044345259002,0.006864990663328091,0.0065821237055327655,0.006765855109579502,-0.0030229582892043138,-0.0023977580362586543,-0.0025406484014975413,0.0023343900521620156
2021-01-05,0.010870740682512718,0.009300280946609125,0.007272386111790366,0.009600978048350155,0.008525299157584307,0.008466590210191955,0.009832100441568112,0.009715770767823807,0.008682250633457,0.011604634418528144,0.010531223397498094,0.010535429681429431,-0.006681437032219638,-0.00638121746237126,-0.006060937207630072,-0.0007936740731564972
2021-01-06,0.008408595766126408,0.011228515398237614,0.010123910904724183,-0.006751513839486481,-0.006359955125803593,-0.005747207766214712,-0.0019441942544133266,-0.0010831122973954201,0.00020793403639397296,-0.0023352518233173618,-0.0010603671338477053,-0.0009602805387619028,0.0029770167054420605,0.0023702987781398233,0.007333325347019502,0.006304897932050438
2021-01-07,0.011152516804504395,0.009385865291965426,0.008894306479548425,0.011702167837156064,0.010739552830205504,0.009826602100418379,0.014001670048296718,0.012149797642140655,0.011743869296698795,0.014889230078976669,0.012298820877204368,0.01197423182857258,-0.008778059901237987,-0.008600297408345529,-0.009123510744727807,-0.007074351078217315
2021-01-08,0.009533176215502731,0.004278280242208712,0.0037733546509062244,0.006298286176290545,0.005747275911341802,0.005782914881305577,0.008036051438239811,0.005925843415631292,0.004094667516622313,0.0071170127255872,0.0053867196626167175,0.005315928216620113,-0.006445395896895065,-0.006274932993305918,-0.00780755561356579,-0.004734490515587234
2021-01-11,0.012944100229896702,0.009188257611190041,0.006855632827735491,0.005618737167211353,0.005757221351532268,0.005429545704596449,0.00843759688204476,0.008085904964739777,0.0076912014860728095,0.0072330507470091425,0.007280203205037425,0.007077345801104776,-0.00559084419707255,-0.0054304008577265635,-0.004075180772846903,-0.0008299799516348437
2021-01-12,0.010689452253308127,0.012103432135356956,0.008274342996897888,0.006086669298769598,0.005918286873021698,0.005439200248720779,0.00993894724742815,0.008787861004616948,0.0088877875546582,0.009924695523255084,0.009425568720554446,0.009674310166178953,-0.0027639982296847267,-0.0024485276137854012,-0.0018297674627642726,7.95680650907609e-05
2021-01-13,0.0091184828285135,0.005851221879994868,0.0031034373440102397,0.00393730582064545,0.002797291096491152,0.0024236449739976776,0.0072613800481842955,0.005855186957926441,0.0037880966150760677,0.008086641251184053,0.006834513331756042,0.00615627015325058,-0.005902255900776719,-0.006503976966429535,-0.006593185270580387,-0.002830673814296232
2021-01-14,0.01788251431041488,0.012426058767960112,0.011042091634270454,0.009275839573022382,0.008007973945021691,0.007807731653625391,0.01583689254096253,0.013098246567576187,0.012029830923066965,0.015168316633244177,0.014645755370982566,0.013539547104255614,-0.009091087033354029,-0.008415018352753184,-0.0083291302919503,-0.002248750114493891
2021-01-15,0.009585536500218211,0.006054421464356414,0.0033186789847895965,0.0010480891135804366,0.0005063237459834578,0.0010049396832217219,0.005395167757841072,0.003038225683341625,0.0024573210526358737,0.003784330899615312,0.002829522497708997,0.0033140851462655227,-0.007351450393193267,-0.006499790419637446,-0.007035999371698525,-0.0006633465446085663
2021-01-19,0.020170912995835524,0.018678707056628552,0.014222314518297995,0.013351783806428997,0.012432918411700519,0.012386983193908048,0.01996037373333926,0.019110170472777768,0.01596924044385881,0.020336613064810206,0.019071960571605158,0.017716051239830114,-0.012513975581080777,-0.0116291915954854,-0.01264153484759113,-0.009484473532437471
2021-01-20,0.007941483774235262,0.004894017922976663,0.0016937064367235934,0.0016754421675865396,0.0025898570087446713,0.0028954994888803647,0.002143410780909673,0.0008732178299792506,0.0009439726821092587,0.0028616452444027492,0.001974329358342839,0.002893802029446839,0.00047274900081184675,0.0012772489149553087,-0.002154906453863415,-0.0036174217200485893
2021-01-21,0.00883602283172999,0.006817940050065878,0.0037066426639894155,0.00382174245155136,0.004380566773609309,0.0042454585632093755,0.003646311618037442,0.004119706670273405,0.0029482280069408986,0.0025078630792721,0.003243193104751426,0.0026216494317843324,-0.0017218903422149938,-0.0009076403197194663,-0.0008991016637068984,-0.0013572325066398235
2021-01-22,0.006400748626594163,0.006934490044322165,0.004266892360647007,0.003484969626262913,0.0026551594575559205,0.002417593438470807,0.005097443398224747,0.005172561858870441,0.005229866644306543,0.005570765631421981,0.006155224314199584,0.006804949773885807,-0.005119009749713361,-0.005330562414002576,-0.003985744257828429,0.0012954689028135272
2021-01-25,0.010021816539194449,0.007252589855105169,0.003744298960391151,0.010637978851117424,0.011027315319802309,0.011393602586991543,0.006808171636809568,0.0055791350868691575,0.004235713724550279,0.005998280815040423,0.006420276847904369,0.006587475509901492,-0.0058873180626684675,-0.0066767828810451145,-0.006589200178324004,-0.005900760257731768
2021-01-26,0.010966231475092228,0.008044736332225098,0.00614827271670197,0.004265881186631121,0.004127744068833688,0.0038590640536493165,0.00438958282593535,0.003315668040275629,0.001715912770162763,0.0037923469177081233,0.002956624756357931,0.0034004562576841926,0.002720408784540473,0.002636027021445339,0.0024157164575277514,-0.0001752632170541709
