,index,annual_sharperatio,max_drawdown,carmarratio
0,AACG,0.8006718496040635,0.9272727309103915,-0.3031496242395889
1,AAOI,-0.826761961614814,0.5671520992524999,-0.9609781525351553
2,AAPL,1.1702992039806568,0.12562779105398936,2.078652864054185
3,ABCB,0.29782623624105664,0.19852682574440284,0.22864236877595773
4,ABCL,-1.3217724372830089,0.7341747654294505,-1.001532781623274
5,ABCM,0.46474420001318956,0.2629629461017796,0.39769930132551196
6,ABNB,0.27336449182058525,0.37396235799382815,0.04212522704920655
7,ABST,-0.5301174326668202,0.4626312833675552,-0.6607543247777641
8,ACAD,-1.2103679345322038,0.7068557856482893,-0.9505788560079396
9,ACCD,-0.7046695778501605,0.6266576130838539,-0.8618913806465528
10,ACET,0.4446922555925513,0.6336633701861525,0.12054814406170798
11,ACEV,-1.001527375770906,0.21701109370373295,-1.240335873251423
12,ACIU,-0.15218860816262747,0.4045077343776161,-0.5344697798643845
13,ACLS,1.7414746422212393,0.25630246511194765,4.778113436510539
14,ACMR,-0.05549607070616352,0.4595612689145149,-0.5451366826127356
15,ACOR,-0.4171294501009618,0.6903821004758068,-0.7750724644826146
16,ACRS,0.8519924712298788,0.5637676344510305,1.9653707042784436
17,ACRX,-1.02208459922636,0.8136882038968801,-0.9123098392327395
18,ADAP,-0.4242575462376623,0.4675716575477855,-0.9684993161068219
19,ADBE,0.4491600470646652,0.1602035181232523,0.588171047857315
20,ADEA,-0.7265095382306138,0.2628950888783621,-0.8850011657931581
21,ADIL,0.7434060170026819,0.45610280078009324,0.769754035848613
22,ADN,-1.1271675749010501,0.6462113022723199,-1.021299297044668
23,ADOC,-3.3279324896571585,0.034917613549907744,-3.1416625164243626
24,ADPT,-1.2130655889736792,0.6085659049986138,-1.0197118376659289
25,ADTN,0.9518260393468314,0.24000003212376642,1.5345397744216163
26,ADTX,-0.6054937194015892,0.8939163512603412,-0.9649148866331738
27,ADUS,-0.666471419883184,0.3993569107379863,-0.8611503760506821
28,ADV,-1.5906151983433725,0.4330527910917624,-1.179681984990581
29,ADVM,-2.0918683513535115,0.8710374677885853,-1.0910373973236567
30,AEHR,1.9842670527438107,0.41543023872138596,19.42233988106317
31,AEI,-0.3759357031972321,0.9751256280253102,-1.0265093831030059
32,AEIS,-0.5108361129705976,0.3074360837272868,-0.8866861014516488
33,AERI,-0.8766566290190391,0.6480117927887243,-0.8968766856605407
34,AESE,0.4293715089233602,0.5076452526923436,0.07338772353815834
35,AFBI,1.9652805799286797,0.05910007348223756,7.110366094111289
36,AFIB,-2.597493945045995,0.9041679282711552,-1.096130557762318
37,AFMD,0.03939187862809565,0.5049683676472312,-0.428659773884386
38,AFYA,-1.2229411983127625,0.5208333304787047,-0.8926127746259875
39,AGBA,-1.7360906200040414,0.028810447306924836,-2.163630492184044
40,AGEN,0.3019978948609037,0.5382262999171586,-0.1747031987927047
41,AGFS,-0.21884042440997922,0.307392989250476,-0.6265354699815713
42,AGIL,-0.135107546732729,0.7887802955733706,-0.7756124968286555
43,AGIO,-0.8223267926420418,0.4882008380969699,-0.779474453228869
44,AGLE,-0.6349593546061458,0.579572454895849,-0.9153956991049739
45,AGMH,-2.075176420272813,0.8494882656149954,-1.1042917661432423
46,AGNC,-0.5496687499736939,0.1879699675576607,-0.6078521882411397
47,AGRX,-2.761245923867818,0.8534328403757578,-1.0898383156384595
48,AGTC,-0.9143104646176444,0.7373461050459873,-0.922915910495045
49,AHCO,-0.7048305186983846,0.5023622088239457,-0.9546026104857726
50,AHG,0.42151814093880113,0.7975930028062439,-0.38366503515348227
51,AHPI,0.609404848422992,0.644525550849602,0.20093566146041925
52,AIH,-0.14449493085998472,0.7585512880600258,-0.5390682498850676
53,AIHS,-0.633667582273782,0.7912568255463824,-0.974006980887199
54,AIMC,-0.8717116706212786,0.26603005497974974,-1.1824997769179038
55,AIRG,-0.7396816871605147,0.6404958905666279,-0.7310544748077822
56,AKAM,0.300708810782225,0.17148427511280395,0.2302289066889225
57,AKBA,-0.26389673093843674,0.519916148635241,-0.6810168492990807
58,AKRO,-0.21480462749329413,0.4407795960469896,-0.5594940372888947
59,AKUS,-1.2860847826695443,0.5959899693543105,-1.1041765698099495
60,ALBO,-1.0615481756310021,0.4868235419778263,-0.9692971377423549
61,ALDX,-0.7529812283441679,0.6759776512926702,-0.9181681934386524
62,ALEC,0.6323139582677383,0.4722719382863302,0.5139986170567361
63,ALGM,0.43617210655057814,0.32903225265155034,0.3183359273887755
64,ALGN,0.40035051774766905,0.18376476462497826,0.4680386104225645
65,ALGS,-0.9138656789623111,0.6614035185562152,-1.0909554752619735
66,ALGT,-0.12772545784291653,0.32656732450512926,-0.3309660009931284
67,ALIM,0.43704021294318274,0.6317180891761918,-0.1140634048388995
68,ALKS,0.28112103717321063,0.3135910473531377,0.10856707689797816
69,ALLK,-1.4403068895040174,0.9288841860115272,-1.099189356017309
70,ALLO,-0.8337260587175163,0.6162820765404127,-0.8907333913394526
71,ALLT,-0.045022875945226824,0.4391857164530616,-0.37723522313305513
72,ALNY,0.48052880635088796,0.22528546709838537,0.5632899933610385
73,ALOT,0.5953176184838977,0.234066538391282,0.8288485756987485
74,ALPN,0.23484022246169545,0.3988480795478334,-0.127540269695441
75,ALRM,-0.8349387010365962,0.27753553345305093,-1.0819671644186704
76,ALRN,-0.6469291476129247,0.7518518555311507,-0.8834554750281535
77,ALRS,-0.1252594117921953,0.21568629127125694,-0.4779265122430151
78,ALTR,0.5662323270084909,0.13082140926591423,1.076847737333474
